,full_text,username
42,@Icad4U Pemain sepak bola jersey nya sama lgbt,LawakanI43435
43,"Der Panzer Germany,  tp mreka dukung lgbt",oidHimawan
44,LGBT  Leupeut Gehu Bala-bala Tempe,vxeds
45,wota woti ketika event jeketi pake baju samaan = lgbt  pake baju erigo sama = lgbt member baju nya sama = lgbt  pake baju lebaran sama= lbgt baju couple = lgbt  intinya lgbt 😔,Icad4U
46,@zazaashann Mohon maaf banget adakah di Al quran ayat yg menyatakan pelaku yg melakukan hubungan seksual LGBT harus dibunuh? Boleh tau surat apa?,FikritheAdvisor
47,@SiaranBolaLive keren apanya mirip lambang LGBT,nugrohost7
48,@hugozeldaa @zazaashann Tapi kalo yang ngebunuh ternyata menikmati konten LGBT gimana kak? Tolong jawab,tsabitavosaa
49,@_48DEE buat sirkel yuk berdua (no lgbt),gagituflo
50,@CapXSid #DelhiMetro meh #HoliCelebration saath meh #LGBT Lesbian scene wah ho gea entertainment,saidmythought
51,@AbdulWa82444032 @PaijoKhentir Menurut data LGBT terbanyak di Indonesia adalah si kawasan syariah yakni SUMBAR😀😀😀😀,KyaiAhy
52,@multabolot Lgbt flag?,davey0v0
53,"@zazaashann Ya langsung dibunuh tapi harus ada minimal 4 saksi &amp  ada bukti kalau dia pelaku LGBT  Kalau masih asumsi semata doang ya gabisa. Udah, kalimat pertama lu udah minta maaf gausah ngejelasin ampe bawa bawa agama, lu salah.. udah diem, Hush.",_48DEE
54,@zazaashann Iya kak didalam Islam emang kalo orang ketahuan lgbt disarankan buat dibunuh,hugozeldaa
55,"ah sama inii  mau minta maaf juga buat twt yang inii yaa  dulu sempet baca kalo ada yang lgbt(?) itu didalam islam langsung dibunuh.. tapi gua gatau juga beneran atau engga, ini salah aku juga karna langsung ngomong gitu.. maaf sekali lagi https://t.co/re9Vz70oRe",zazaashann
56,"@txtdrimedia Mantap om putin, usul aja di indo jgn sekejam itu lgbt d anggap teroris, di sediakan pulau khusus aja, smua boti d kmpulin d sana, biar punah dgn sndirinya krna gk bisa ovulasi🙏😁",declevr
57,@multabolot wah kok warna warni seperti lgbt‼️😠,not_ur_fav_boy
58,LGBT   Lee jihoon Ganteng  Banget Taik https://t.co/fNgNNkOh8v,Dayattt24
59,udh bukan lgbt lagi jd penyebab bencana,pelerhorse
60,"@_L0KA @txtdrimedia Yg jawab gitu kadang tontonannya juga porn sesama jenis, tongkrongannya juga komunitas lgbt. Kenapa gue tau, soalnya dari kampus ke kampus ada aja cerita org yg begini. Kampus top, kampus gk terkenal, semua ada dan polanya sama.",hrd_chumbucket
61,@txtdrimedia SETUJU!!! MUSNAHKAN KAUM LGBT!!!,hahuhoheng17
62,Kemaren nonton video abang2 bahas LGBT. Udah serius dengerin gk tahunya LGBT itu lelaki Garut berusia tujuh puluh tahun 😭,junimina17
63,"@txtdrimedia Wajar klo LGBT masuk kategori teroris. Mereka kaum perusak generasi manusia. Apalagi sekelas negara Rusia, mereka butuh manusia² tangguh untuk jadi tentara.",suprayitno_r
64,@kopparslagare_ LGBT Lelaki Gagah Berurat Tangan,RyvAlwayss48
65,"@Meldy86 Banyak sih, soal LGBT, soal anak2 ngikutin kardashian, soal transgender, banyak juga yang bikin gue angguk-angguk hahaha. Dia lagi bikin rame soalnya dia ke Gaza dan ikut neriakin ceasefire sampe cabut dari daily wire",diansubrata
66,"@masprikk Ya ampun. Emang sih, di sana laki sama laki itu normal. Cewe sama cewe normal. Nikah pun boleh. Cuma di sini emg LGBT punya kekuatan super bisa menimbulkan gempa. Orang2 straight zinah mah tak berdosaaa",dxachu
67,"@txtdrimedia bisa ngga sih ada team atau ormas atau apapun pembasmi LGBT""... apalagi sekarang mulai berani tampil terang-terangan.""",GorongGorong69
68,"@txtdrimedia Indonesia ikutan dong, LGBT sudah seharusnya di hempas karna merusak moral bangsa",indiabcd_ef
69,"udah keliatan dari maraknya lgbt, berlomba2 membangun gedung tinggi, masjid udah mulai sepi, banyak fitnah dll. kabarnya udah ada sapi merah juga sekarang",xrarmara
70,"Standar ganda, aku ga suka perilaku LGBT, jadi kalo liat kapal²an eneg juga. Aku ngefans ketika mereka jd individu",usergabut48
71,@kopparslagare_ LGBT (Lelaki Gabut Butuh Teman),sepertiswiper
72,@kopparslagare_ lgbt ituu lelaki gendut bermuka tirua,broccazo
73,"Gue nonton pas lgbt blm marak jadi topik kek skrg2 ini, jd mikirnya ya anna ini krn dia kesepian dan ga punya temen trus dapet org yg bisa dia jadiin temen emg seneng bgt pasti... dan ternyata itu neneknya.. salah satu film ghibli yg bener2 membekas di hati",g_honmono
