,full_text,username
217,"@sosmedkeras hadeh, respek sih respek, tapi ini sama saja kek ngecat jalan ama bendera lgbt",fikrisirnight
218,@vanessatism lgbt simp,0xywave
219,@Daily_JKUpdate @dailyjkpraise JUNGKOOK ANTI LGBT+,disflorescer
220,"@thesharktattooo Bodoh bodoh jelah keling ni. Dah lah bodoh , lgbt pulak tu",haziqhazli_
221,@yvaefleur Fantasias lgbt!!,Mono_asAtreides
222,@idextratime lgbt,Pjreex
223,"@Sam268891 @Ipaahu @Humairah_922 Apa yang komen ini pelaku LGBT, sehingga tidak terima?",elyarsad09
224,@musyiela tapi inglen tuh masih melekat bgt sama lgbt susah dibilanginnya,lovecolwill
225,Pdhl banyak org media yang bagian dri lgbt,holyliketheblvd
226,@txtdrimedia Di indo kalo ada kebijakan kaya gini yg LGBT langsung pindah negara ga yaa🤔,AdR_094
227,"heran anjir udh gw kasih homophobic dni ttp aja msh fol gw trus desc nya lgbt dni"" tambahin ilmu literasinya goblk""",renncom
228,"@AkewReynaldi @Y_D_Y_P karena zelensky keturunan yahudi, rusia anti lgbt dan rusia melawan hegemoni barat",ekopras96808127
229,"@Ndons_Back @Ndon08 @MyNameNdon @Dr_Stein08 @NdonBack2 @NdonBack4 @NdonBack3 @Ndon_PedoHunt @PedoKicker @BangNdon @Ndon08Back @NdonB4ck @Drs_Ndon @Ndon_Back @NdonTwit @CodeNameDon @UserNameNdon08 @AnonNdon @NdonHunter @NdonBacks @Ndon_isBack Maaf, saya bukan LGBT yach 🙏🙏🙏",ali_hasan110
230,"@TxtdariHI Istilahnya ?  LGBT = Teroris , begitu pemahamannya teman2.",GNET888
231,@AccuentaIndf @unNSbaneado @papeadas1945 @Dementhetv @oOoConservas LGBT*,fuckarolli
232,@TxtdariHI Waktu kejadian In i karena US melegalkan LgBT. Dan rusia menolak LGBT dinegaranya.  Terkait LGBT&gt  Lebel.  Disitulah tercipta pola pikir masyaarakat LGBT sama dengan halnya teroris . Effect media  mainstream,GNET888
233,@Lorenafofin lgbt+ ?,BrunoWArts
234,@txtdrimedia Yuk semoga Indonesia bisa terapin secepatnya Krn semakin meresahkan para bocil jg ikutan jadi lady boy. Brantas LGBT ✊,KristinaCa81794
235,@Saymonohumano @orihmezu Lgbt vs Lgbt 💀💀,Entity_303__
236,@GFRobot @HollywoodHandle Lgbt lobby,DiamanteGaufre
237,@mohmaleee Ya gpp sih.itu kan kebijakan negaranya.dan kita juga ga tau keadaan LGBT disana itu gimana,jandarobot
238,@adysufardyrifai @PKSejahtera Bio anti LGBT tapi ?? Wkwkwk https://t.co/kM7IXo3UUC,Rifqizuhdi281
239,@jwesung kmm dah nntn my love mix up jepang versinyaaa blom sih? klo blm nntn di netflix.. MNRTKU SERU SOALNYA SGT RINGAN😭 atau klo dah nonton coba search aja “lgbt” di netflix wkwkwk kmrn aku random search itu banyak keluar🧍🏻‍♀️,wwmarklee
240,@mohmaleee Aku gk tau keadaan lgbt di rusia sudah se parah apa sampai jadi ekstremis dan teroris,Fikfinicky990
241,"@yaelahandri @txtdrimedia Dunia penerbangan banyak juga LGBT, dan banyak lagi",rama79072
242,@eN_Hazet @AbdulSompret @Akun_Kesebelas @SammiSoh Wkwkw cuma like fir? Ga salah kau tolol bandingin cuma like dan ngewein di pesantren Ampe ada jdi homo ? LGBT?🤣🤣🤣,DAbdull36647
243,@rose_k01 @seriousfunnyguy LGBT gang??,iamkrishna2681
244,"@Just_dhee1203 mestinya tulisannya jangan ditekuk mbak, pasti tulisan lengkapnya                 89.3 %            KAUM LGBT    mengalami kekerasan         dari pasangannya        ----------------------",Joabie_WIN
245,ok maaf ternyata ada yang sampai 72.8K (yang LGBT x pemilu) BUT STILL first 10K likes crazy!!!,efraimsthoughts
246,@liriozinha_ Lgbt,ashvampir3
247,bantai kaum LGBT om putin kalau bisa Indonesia juga begini,jawavanili
248,"Rusia Buat Kelompok LGBT Ketar-Ketir, Putin Keluarkan Undang-Undang Ini https://t.co/LxmsBLYGLk",RepelitaO
249,@akishibee @kaenchwan @bukanwibudesu Karna lgbt jg sdh ada janjinya di al - Quran lah ini pemimpin blm menjabat aja sdh di sangkut pautkan,FzySpaghetti
250,@danhvng Prabowo 1 - lgbt 0,panggski
251,"@nidzfreemind @txtdrkonoha Bisa jadi sih. Tapi sakit bangettt belain kaum LGBT, udah hina Dimata Tuhan, bisa menyengsarakan yang lain pula.",yulienn23
252,"akun homo lesbi lgbt bau tahi jgn merep akunku apalagi memfollow lah, km dilaknat Tuhan",jerinardian
253,@AZulfajrin @ino_wilmac @txtdrimedia Agama mana boleh lgbt kok sampe agama,avocadofloat20
254,@RevaldiRevv @TxtdariHI menentang lgbt doang belum tentu lebih agamis. banyak aspek,Jssera48
255,@Shiny_stary lgbt,Agusgrasoso
256,@owygn Ini kenapa komenya pd fokus LGBT ya ? Jgn jgn yg komen 🤣🤭🏃🏃🏃🏃,akuikko
257,@TonyXinn ? Jak LGBT zakazana? L-iberty  G-uns  B-eer T-its,Pawel838
258,@yulienn23 @txtdrkonoha Pro LGBT mgkin krn bisnis mereka di situ.,nidzfreemind
259,"@estermutinshort Lebih baik Rusia ketimbang Ukraina, Rusia tegas terhdp LGBT dan Pro Palestina, Ukraina dukung LGBT, Zionis. ( Amerika, Israel dan Ukrania ) mereka msih satu Sekutu.",Banyulangit__1
260,@Kienloml Lgbt : Laki laki Garut Berusia Tujuh puluh,ojaojagf
261,@1artemisfowl @safrifajri @haryono_666 @ja80197 Ekstrimis? Ini sama seperti case yg nolak LGBT dikasih cap homophobic wkwkw,BlokirBoris
262,"@txtdrimedia kemarin sempat liat tweet kaum lgbt udah berani terang terangan pacaran dan di up ke twitter alias x, lupa ss gua klik tidak tertarik 😀🙏🏻",jjovaaanka
263,"@mdanielmdizan Dak dak woke, biasa orang camni lgbt pon sokong.",JibrilZul
264,@mienzit kawaki,thoudon
265,@PaijoKhentir LGBT di konoha terbanyak di mana? Di daerah yg ada perda2 syariahnya. Kesimpulannya apa sudah kena azab?,kedondong2288
266,@nunalixie @PartaiSocmed Starbucks cuma jelas2 dukung lgbt +++ Kalo isriwil gatau juga sih. Cuma kopinya ga enak jadi ga pernah kesana 😅,76Rogerwen19562
267,@ChristianPunsOG LGBT flag...,For_liberty_87
268,"@GlobeEyeNews Mantap, kaum yang pantes di genosida emang. Negara mana pun yang menyatakan perang lawan LGBT, gua dukung.",kozukikoboyyy
269,"@diankrtn__ Wah, FPI juga pernah disebut oleh @aniesbaswedan sebagai ekstremis  Masa FPI sekelas LGBT, gak mungkinlah 😀",abuikhwanaziz
270,@shivam_tanishq @piiyushtiwari Tujhe ladki nhi koi lgbt wala sudharega,akvk_aditya
271,@Kerajaan_Israel @BramantyaNigel @bnsphrxyzzz Kirain sistem zionisme jadi goblok tuh contoh LGBT banyak di benua eropa apalagi israhell,Rifqizuhdi281
272,"Ah tailah, ada bendera LGBT nya. Sakit FA, jersey negara masih digituin. Kemungkinan besar ga jadi beli ini mah.",bayuajianto
273,@RickPrimeee ja mam hwdp i lgbt,odsoliglowaboli
274,@amgTOP_G @annazrulan Betul… menjadi lgbt pun menghina agama… so sepatutnya dpt same energy lah… tapi derg x paham kot part2 ni…,Suresh38783
275,@mdshm_ lgbt,fazzlilallana
276,LGBT itu salah satu agenda elite global yg ingin merusak tatanan masy di dunia. Terutama Keluarga. Makanya Rusia berani memasukan LGBT dlm daftar organisasi teroris dan ekstrimis dalam rangka menentang agenda elite global. Beda dgn pemerintah kita yg cenderung pro ke elite global https://t.co/i1lYUnV2QB,diankrtn__
277,YESSSS. Gua bisa toleransi apaan aja kecuali LGBT. LGBT tuh mental health bgsttttt!!!!,rn_zorok
278,@biagresif @RosesMariaa @ConflictTR Cahil kopek it  lgbt destekcisi gavat burda cok konusma,Boynagalava06a
279,@txtdrimedia Teroris = membunuh warga Ektrimis = meresahkan warga LGBT = membengkokkan warga,healthyyacc
280,Pilihan konsumsi itu pilihan pribadi tapi menyerukan boikot itu bukan pilihan pribadi tapi agitasi. Sama seperti orientasi sex seseorang itu pilihan pribadi juga tapi kampanye LGBT itu agitasi.,PartaiSocmed
281,"@NoraAyudha @FredArizona iki sebelum aku nemu tweet soal jersey lgbt ckck . kecewa aku , mau aja beli",BoyElectric
282,@ps3master37 lgbt…..😧😧,mewzenic
283,@SoftWarNews URAAA... sikat habis LGBT...,MizanoIsk
284,@himeruwngy wah apakah bisa menyaingi sinar lampu lgbt nya enstars,Ieomeong
285,@tujeshynroman @PurelyFootball LGBT+*#,Baptizium
286,"Bukber gugus ppsmb bahasnya international case, oligarki, lgbt, feminism, pro choice pro life, pilpres, food estate, dsb. Gokil emng tongkrongan ini",cpmilktea
287,@TxtdariHI Iya LGBT itu emang teroris wkwk,walang_sangit19
288,@presideninsyaf @Hercule56318204 @bengkeldodo @delano_rosevelt @DarekaRendy @DamarLeonardo @Ciladinosol @Bank_Joee_ @are_inismyname @InternetH0F @TerataiVe_02 @AditBandit234 Maklumin aja akun berangka banyak dan follower dikit… bisa jadi akunnya penyembah rezim atau akun penganut LGBT.,AriskaPutraS
289,@txtdrimedia Di X botita sari boti tak perlu susah payah mencari. bagaimna kalo botita lgbt di indonesia kategorikan organisasi Ekstrimis. ketemu tampol halal kn? no bui.,MHasbyDzikry
290,"@agusudarmansyah Mohon maaf, itu mutlak dilakukan, karena dengan melewati miqat dan berniat haji/umrah, segala hukumnya otomatis berlaku, tetap jaga etika khususnya waktu duduk, Krn banyak jamaah yg lupa kalau lagi pakai ihram jadi auratnya lupa ditutup",fai_bigheart
291,@maxbaratinho Lgbt,poemylovee
292,"Quotation menarik hari ini, terima kasih telah mengingatkan bagi insan yg pelupa, karena ini sudah sangat dilupakan atau terlupakan oleh kita semua",fai_bigheart
293,"@agusudarmansyah Sebenarnya permasalahan pendidikan, pengelolaan yg belum maksimal seperti belum menemukan jurus yg pas, sejatinya pendidikan adalah hak warga negara yg harus dipenuhi oleh pemerintah sebagai pelaksana negara, tapi kepentingannya tumpang tindih dengan yg lain",fai_bigheart
294,dan mereka boygroup kpop yg paling BEDA! mreka berani ambil konsep ttg lgbt. juga cara mreka merepresentasikan itu. woahh!!🌷  gue juga suka bgt sama deskripsi lagu mereka di setiap MVnya✨,wookiesooo
295,@txtdrkonoha Pentingnya lgbt di larang.,vriatamvan
296,"Inilah yg sebenarnya bentuk kecurangan yg terstruktur masif, dimana pelaksana, panitia dan wasit bekerjasama dalam memanipulasi permainan, di wakanda begitu ga ya?",fai_bigheart
297,"@cipuyyuk milih jadi gay"", hah? siapa juga yang mau terlahir jadi LGBT di indo? kalau bisa milih mah smua LGBT yang tertindas, terbully, maunya jadi normal. tapi ya itu bukan pilihan. semoga aja orang tersayang lu, atau bahkan anak lu ga terlahir jadi gay ya? hati2 karma 🙏🏻""",Ajhy79
298,Apapun permasalahannya tetep yg disalahin lgbt,uwu1074
299,"@B_nin927 @Ibrahim43736333 Done mksh dh follow dan udah sya fb. Sm2 saling mengingatkan 🙏  jauhi follow akun porn, lgbt, islamphobia, penghina ulama, akun2 Zionis dan hindari post hoax. https://t.co/3lf0DPiywl",Banyulangit__1
300,"benar, saya tadi melihat keberadaan JEMBATAN LGBT saat menuju sate madura. https://t.co/vSIK57Uf14",cicibercerita
301,"Ho khensa contraceptive ya ntumbuluku, ku nga LGBT❤️🥹",_AndzaniM
302,"Yang gua heran ini isis kenapa gak serang Amerika dah padahal disono pasar gelap senjata banyak,banyak imigran bisa lolos dan juga klo pengen negakin akidah Islam di Amerika banyak industri lgbt,judi,porno",unap_yo
303,@zakeann @lilblondvert @sweetenertunrep @oversubscribedz @LimeeeTea @imandani @ditoks gw berdoa semoga lu ngerasain juga punya anak LGBT trus anak lu makin dewasa makin mandiri dan malam bisa biar tinggalin ortu kayak lu,Ajhy79
304,@dekmaiki yg lgbt yg mna,jjayyeoll
305,@XMMWOB8JUZ84aCN LGBT,kXDXfu9SpilMZCo
306,"Keren Rusia, memutuskan aturan larangan LGBT. Perilaku menyimpang perlu dinormalkan.",almuslimun_imun
307,@18fesss Lgbt goblok,M_Taufiqi_S
308,"aktivis lingkungan hidup ga bisa diperkarakan apalagi ditahan walau sementara yg katanya menunggu persidangan, penegak hukum di daerah musti update datanya dan pemahamannya tentang perlindungan alam dan lingkungan hidup",fai_bigheart
309,"@Apry3j4 @Eridambulangkun @bryan_chung09 @bnsphrxyzzz Kamu yakin aku berdosa sama kamu jika aku sudah menjadi seperti nabimu yg pedofil, ustadz yg mencabuli santriwati, suruhkan dan serangkan ibadah dimilik agama lain cocok dibubarkan dan menyakiti org2x lain yg beda dari aku seperti lgbt dan ateis atas nama agama.",KarelinGabon
310,"Rusia memasukkan gerakan LGBT"" ke dalam daftar organisasi ekstremis dan teroris. https://t.co/GdaJosjvew""",voaindonesia
311,@BLLRCHMD fuck you LGBT. boleh pergi mampus,KAIYOTE
312,@18fesss LGBT LAGI BETE,AkazaYeager7
313,"Pemerintah Rusia menambahkan gerakan LGBT"" ke dalam daftar organisasi ekstremis dan teroris. Ini mengikuti keputusan Mahkamah Agung Rusia pada November 2023 yang menyatakan aktivis LGBT sebagai ekstremis.   [Sc: VOA Indonesia] https://t.co/romGqWY9eh""",Swiftbuzz21
314,@GlobeEyeNews @Muly86054800 Diprediksi para pelaku penembakan di bioskop adalah dari kaum LGBT,Marco_Alfa20
315,"@del_paijo pengen juga sih, tapi harus dipertimbangin dulu dalam-dalam biar ga jadi bumerang😂",fai_bigheart
316,"@SoftWarNews nah kini mantep nih, harus kasih keras dan jangan kasih panggung buat kaum lgbt",alfianoano_8
317,@dhamirimiri Hmmmm mungkin sub culture for lgbt community kot. 😅😅😅😅 Susah jugak ek mcm ni hahahahah penink,shxdxshxh
318,@HeyTaraaa Inilah doa saya kepada para homophobics. Hate me if you want but accept your children whoever they are. Kalo sekarang terlalu vocal homophobicsnya ntar sedunia tau bahwa situ anti LGBT ntar malu gengsi gamau accept kalo anaknya gak straight,PozzieB
319,"@PaijoKhentir LGBT disuruh interopeksi, spai kiamatpun tdk bakalan mau.. MKnya ada kisah kaum sodom,gomora yg ditimpa batu batu besar krn kerusakan yg ditimbukanya. Dan di islam ada kisah nabi luth yg kaum sodominya di azab tuhan dgn sgt pedih.. Itu pelajaran bg orang yg pya otak Bkn unt paijo",HeruSup80445135
320,LGBT itu T nya Teroris,adi_rossoneri
321,@txtdrimedia Setuju gak kalau boti boti LGBT di indo kita kategorikan teroris juga?,fahriskroepprel
322,ikutan dong😅,fai_bigheart
323,"ApaSih fIlm dIsNey seKAraNg baNyAk AgEndA wOkE LgBt""  literally disney in 1998 : BISEXUAL KING😍 https://t.co/zoWtI2uROe""",kovntl
324,@tempodotco Neflik punye siape sih? Kok film ny banyak mempertontonkn adegan Lgbt sih?,IqbalKu63221669
325,@AshrafFem LGBT🤣🤣,nafeescongressi
326,@M15Z10A24N25 Karena negara nya strict sama lgbt wumboo jadinya mereka ga boleh bareng tadi aja ada yg bikin kue pake hiasan gambar znn ga boleh zee nya dicabut kalo mau kue nya naik ke panggung 🥲,sabotabbyy
327,"@_L0KA @txtdrimedia Betul, seharusnya lgbt termasuk ekstrimis karena menyebarkan paham yang melanggar kodrat, mereka bisa menyerahkan diri untuk dibina atau ditangkap, karena diterima nyari penggung dan menjadi2, seperti di amrik sampe bocilpun diracun paham mereka.",Mbimbims
328,akunku not safe for homophobic ya.. bc i’m a part of lgbt 🎀💒💬 !!! aku juga hype animangas +++ HSR HI3 ‼️‼️,babufess
329,"@plutonerium @SoftWarNews yang namanya LGBT kaga usah nyudutin 1doang diindo banyak transgender,lesbi juga banyak bukan cuma homo. btw kita yang normal juga kaum tusuk lobang 😅😅",JungHos30451189
330,@alikorkmaz8385 Afgan LGBT,mayrukcouture
331,@katak_pohon @cii_MS @SoftWarNews melambai bukan berarti lgbt -_-,getjzebulon24
332,@TxtdariHI Pemerintah Indonesia kenapa blm ada sikap tegas ya tentang LGBT,frhndby
333,"Gw sendiri gak ada masalah sama LGBT dalam artian orangnya yah. Cuma emang pergerakan mereka ini kerap meresahkan, apalagi yah disamping orientasi, pergerakan ini banyak menyelipkan nilai-nilai barat yang terlalu bebas dan liar.",Dwiky_Alfi
334,"@gentrifikasu salah, karena lgbt jadinya semua org kena azab",xouveria
335,Deii Pacha Sangii.... @cheranacademy appo appo regressive thoughts ku muttu kuduthuttu iruppan.  Ippo motha LGBT community ayum paradesi nu solran. https://t.co/AQ6vODvAC2,ramjana24
336,"@toe_giman Boleh aja maju, tapi kita ga mau dipilih partai pendukung LGBT dan islamophobia.",RakyatYangJeli
337,"@lady_bugg11 Asalkan bukan meliwat, bukan mungkir janji, bukan buruk muke lebih filter, bukan jadi abdi dap, bukan penggemar lgbt dan konsert...",putrajb76
338,@EKebola @jeune_afrique Papa LGBT 😂😂😂,fatao_sinare
339,"@txtdrimedia harusnya si begini, LGBT itu psikopat dan berpenyakit mental kronis",typingtwt
340,"@ruang_cerita99 Songong banget tu orng Tapi Iya sihh bener di aceh kontra banget tentang lgbt, soalnya anti bangt di sini. Tapi becandaan ny ampe megang tit*t boleh kan sialan banget  Susah bangt be yourself di aceh ni Jdi harus pande nutupin lah Sebagai orng aceh, aku juga pengen keluar dri sni",simatabiru45
341,"kmrn nyalahin lgbt, abis itu nyalahin prabowo-gibran, skrg nyalahin kebudayaan jawa  ada-ada aja para polisi moral ini",edoareo
342,LGBT T nya kan Teroris,snyowman
343,Indian LGBT,KhondkerBa27082
344,@SoftWarNews Film2 neflik rata2 menontonkn praltik2 lgbt sgt menjijikn,IqbalKu63221669
345,Jangan lupakan Banci Khong Guan dan LGBT pun ikutan menjegal Abah Anis.,badut_istana
346,@kosmanoglum @yusufalabarda Refah demek lgbt desdek demek,senolaktepe5334
347,@18fesss lgbt ini fungsinya apa sih di dunia? gk normal njir,dracxlett
348,"@oliiverrsky @moviemenfes Kalo LGBT ga dibolehin, straight juga ga dibolehin.  Dreamwork malah banyak yang gay",Bruskami
349,@_oliseh254 LGBT,sibutheartist
350,"berarti anak panitia dapat prioritas ya, kok ada yang mirip ya",fai_bigheart
351,@lxyllaby buat yg wrna lgbt dong,sixeyesf
352,mentereng banget ya,fai_bigheart
353,"capek kalau ngerjainnya, tapi lihat hasilnya jadi hilang capeknya, apalagi kalau suruh ngabisin doang, pasti ga capek banget, cumah begah karena kebanyakan😆",fai_bigheart
354,"A Hukumance Rasha Ta Saka Ƙungiyar Masu Auren Jinsi (LGBT)Cikin Jerin Ƙungiyoyi Masu Tsattsauran Ra'ayi Da Ta'addanci  https://t.co/Ej2yux3uCj  Rasha ta saka ƙungiyar LGBT cikin jerin ƙungiyoyin masu tsattsauran ra'ayi da 'yan ta'adda.  A cewar Reuters, hakan na ƙunshe ne a cikin… https://t.co/0z6DOmhX4r",ConfamNewsHausa
355,"dki itu ada 10 dapil, kalau cuma tertinggi di dapil, baru 10%, itupun kalau suara dapilnya di borong semua, masih jauh kalau patokannya cuma jumlah suara perolehan, tapi siapa juga yg mau, nalarnya aja masih jauh untuk faham dki",fai_bigheart
356,Memang harus segera dimusnahkan penyakut LGBT,akhmad_khumedi
357,"Waktu itu pas tau ada isu lgbt dimasukin di drakor pyramid game gue maju-mundur buat nontonnya. Pas nonton episode berapa gue lupa, yang part shim eunjung diancem baek harin yang mana dia bilang gimana kalo dia lapor kalo atlet (shim eunjung) suka sesama jenis, dan eunjung sama-",delightpeony
358,"@oliiverrsky @moviemenfes Padahal Dreamworks juga sama aja ada LGBT nya Tapi kebanyakan di TV seriesnya doang sih (She-Ra, Voltron, Kipo)",YustineMelinda
359,@dekmaiki dem ada cupang lgbt kah,jjayyeoll
360,"@johnTopBoy @hyejuIover LGBT itu Lelaki Ganteng Bininya Tiga banh, contohnya gwe https://t.co/KNbzI59kNn",fathawn
361,@fortisfortuna_9 @tempodotco Terus kapan Wowo bikin undang-undang anti LGBT wkwkwk,Rifqizuhdi281
362,@BLLRCHMD @MALAYSIAVIRALLL Kah kah kah kau dengan lgbt kau dengan vegetarian kau boleh gi blah 🤣🤣🤣,faris_ikhwan98
363,@tempodotco @prabowo dan @jokowi kapan undang-undang anti LGBT dan LGBT jadi teroris,Rifqizuhdi281
364,@Abdquil LGBT,D3mlicay42
365,tbh LGBT dibilang sebagai penyebab bencana itu konyol kecuali jaman dulu ada hujan meteor dan tabrakan asteroid karena ternyata jaman dulu ada dinosaurus gay dan lesbian,nokt_urnaal
366,Jijik bgt sm kaum lgbt dgn opini sampahnya yg hina agama lain wkwk pdhl di bbrp agama jg ga menyetujui perbuatan menyimpang lu 🤮🤮🤮,henderyT____T
367,@18fesss Base ini ga ramah lgbt ya wkwk,hanadiva576
368,"pembunuhan ganda berujung bangkitnya gerakan LGBT di Italia. Film ini sempat disubmit buat wakilin Italia di Oscar tahun ini, tapi sayang nggak berhasil lolos.",moviemenfes
369,"@bhr_oe17 @cinnamoroel @szboslai Gratis tapi maksa mending bayar coldplay yang di demo antek² anies karna LGBT.. Alay kalok ada org imigran/rohingya yang mau menginvasi Indonesia secara perlahan di dukung, ih dasar pendukung penista",Ramailh34070190
370,@zahir32134 lgbt ?! 🤣🤣,e9b96a91a9114fd
371,@txtdrimedia Si pecinta LGBT @bnsphrxyzzz @DeHoutman_id @JinNonik @balaputra_deva dimasukkan dalam daftar teroris 🤣🤣🤣,JalanKe83957796
372,sebenarnya lgbt di indonesia tuh legal apa kaga sih? tdi debat sm orang ig bilangnya lgbt legal di indo. #Layla,qbw72525579
373,@gilabola_ina @TotalFootbol Bahkan Nike gak bilang kalo warna itu support LGBT https://t.co/KcXz4RYL9u,6ojira
374,"@thesharktattooo dah la keling, support lgbt pulak tu",nahmate08
375,sebenarnya lgbt di indonesia tuh legal apa kaga sih? tdi debat sm orang ig bilangnya lgbt legal di indo.,qbw72525579
376,@eryghi_ Sama aja kyk yg percaya bencana alam akibat lgbt. Pembangunanmu asal2an. Jumlah org gak terkendali. Serakah sama alam. Giliran muncul bencana yg disalahkan kaum marjinal. Yg nyalahin ngakunya beragama penuh cinta kasih. Aslinya penuh kebencian.,lakiproblematik
377,"alhamdulillah muncul lagi teman2 yang baru yang mau saling mengikuti. done saya folback semuanya dan mari sama2 saling mengingatkan tuk tidak mengikuti akun2 Porn, Lgbt, Zionis, Islamphobia dan jangan pernah posting Hoax.",Banyulangit__1
378,"Pemimpin yg dzolim, zinah udh terang2an bersilweran di sosmed, pinjol makin marak, LGBT disahkan, lahirnya anak diluar nikah jg makin bykkk. Israel makin gaada akalnya, mesjid al aqsa terancam. Tanda-tandanya udh bykkk, astaghfirullah dosa gw pun jg msh byk😭",faleriabella
379,"@fmciki @AlleKesok @gilabola_ina @TotalFootbol 200M harga nya, naik 100M kerna anti LGBT, jadi total harga 300M, oke gas",AR07channel
380,@TiadaWaktu_ @YandraD31 @wonkgooner Lgbt ya ? https://t.co/R2wTyXz5gw,nobipang
381,"@kutucomel @cii_MS @SoftWarNews emg selain islam, agama lain memperbolehkan lgbt ya?",aareyyouu
382,@18fesss Hanya org idiot yg mendukung dan menjadi bagian dari lgbt 🏳️‍🌈💩,tukangrtweet17
383,Akun bola Indo emang pada hobi nyebar misinformasi ya?  1. Itu gaada hubungannya sama sekali dengan sama LGBT.  2. Harvey Elliot dari dulu emang demen ngangkat kerah. https://t.co/RD21WxO77B,footycinephile
384,"@kd_sketchs Woah haahaah, me bila cg ckp pasal lgbt, hukum benda tu semua terus rasa mcm ALAMAK"" 😭""",beatswagie
385,"@ruang_cerita99 Lgbt tu rugiin negara gada keturunan baru, Penyebaran hiv nya lebih cepat,  Gua sih kalo yang lain terserah dah dosa klen tapi tolong lah yang satu ni brantas. Binatang aja ndk ada otak masih suka meme**  Lah ini akal fikiran lengkap malah kek gini  Hadeuhhh",gajul99
386,"@seIenophile_ g jg, krna ak brteman dgn siapapun kcuali zionis dn lgbt",anotherdiaryy
387,"Ga ada hubungannya sama LGBT padahal, tp org indon emg gampang bgt buat diajak ngehate beginian 😅👍",Gz_ahmad
388,@sebelomhujan @gilabola_ina @TotalFootbol Makanya jarang lagi dukung lgbt apalagi suruh pakai LGBT tuh dari sponsor,Rifqizuhdi281
389,@oL0fRPXaen25817 @gilabola_ina @TotalFootbol Jerman faktor sponsor sekarang jarang dukung lgbt,Rifqizuhdi281
390,@rainbowxpearls Aku takleh nak tweet pasal lgbt ni kang ada yang merempan 💀,mmmmmmmaira
391,@spunxxpearl tini wini lgbt,stabbeddagger
392,"Bila Woke Politik dan agenda LGBT mempengaruhi kebangaan sukan dan sejarah sesebuah negara.  Kit terbaharu England keluaran Nike untuk EURO 2024 akan dtg, telah pun mencetuskan kntroversi, apabila bendera rasmi  negara E (BACA SAMBUNGAN Post Tiada Manfaat) https://t.co/eMR4dj1c6W",generasibe
393,@ShitpostGate LGBT? 🤦🏼‍♂️,nncnotrue
394,gue bener-bener harus keluar dari comfort zone topik LGBT... hampir semua tugas gue topiknya itu dan iya sih gue jadi gampang nyari referensi dan nulis jadi gak lama tapi gue jadi one trick pony aja cuy jadi susah kolaborasi sama orang,torlaies
395,Salut! Pemain Timnas Inggris asal Liverpool ini anti-LGBT   https://t.co/x9Jv2WfgNf https://t.co/x9Jv2WfgNf,posaktualcom
396,"seriously sis, nobody fucking care. jika anda tidak suka dengan tahap kebersihan bazar ramadhan, jangan pergi. kerana sesungguhnya keberadaan anda adalah sebuah kelancauan. fuck lgbt",kdg2pns
397,"Kau kalau mention kata aku tak sensitive towards LGBT punya community memang aku pijak eh, i have tons or friends yang in the same  community as yours but kau je bebal level makan taik macam ni",arianazulkifli
398,"@gilabola_ina @TotalFootbol dengan gampangnya lambang2 sakral diedit kek gini.  kesel sumpah ama lgbt, gw udh dont give a fuck gmna pun, tpi suka tiba2 nyusup jadi sponsor hal2 yg gw suka, mau itu gim, band, atau apapun, fck lah",ilhamemnur13
399,@Just_dhee1203 100% juga malah bagus biar para LGBT lenyap dari muka bumi ini,alrasyidstore
400,@abu_waras Wuzz gila gak sih pemilu Indonesia bisa merusak tatanan dunia🤣🤣.. harusnya contoh luar pilih yang liberal pembenci Islam dan pemuja LGBT 🤣🤣,Sahabat26713
401,@OntiSalagatweet @Mrvaradaofficia @AadiSudeepian slum sulemakla LGBT ge serkoloro 🤣🤣,kimjong1513909
402,@gilabola_ina @TotalFootbol dia anti lgbt atau karena dia pemain pool ya min? soalnya emang merseyside tuh kental dengan anti kerajaan yg disimbolkan St George cross ini.,TheaRizkyyy
403,"@gilabola_ina @TotalFootbol Brand aja harus bayar untuk bisa naruh sesuatu di baju bola mereka. Lgbt bukan brand, kenapa harus dibela segitunya sama FA? Apa untungnya? Apakah ada orang yang mau bayar mahal untuk mesponsori lgbt? Awas aja ada yang bilang ulah CIA lagi 👊",Jakdot01
404,"Patut lah, geng lgbt dan feminist. Bodo tak berpenghujung, nyesal respon",ItsMeHazim
405,LGBT: Lelaki Garut Berusia Tujuh puluh,wiponk
406,"najis pegiat LGBT, tolong akunnya direport",wiyokoo
407,@s_afreen7 Aisa lagta hai ke  yeh sanghi Israel ke kehne se India me LGBT ka prachar kar rahe hain  Mitro.,AsgarAbbas8866
408,@gilabola_ina @TotalFootbol yah gblk pemaen bagus malah dukunh lgbt ya gabakal juara lah,Pjreex
409,"puak2 pro-palestine isley ni sedar tak wujudnya org palestine lgbt dan golongan lgbt &amp  minority seluruh dunia yg sedang berjuang untuk palestine atas sbb faham koncep power, bukan acah demi agama je",tnrnow0101
410,"Penyimpangan kejiwaan dan karakter seperti LGBT, bisa diakibatkan pergaulan bebas akibat jauh dari nilai agama, boleh jadi karena broken home, seolah kelainan, padahal pelarian.  Kadang ada wayang mengatakan LGBT itu seperti lepra dan aids  suatu kutukan bagi pendosa pemaksiat.",ncuhidorowoni
